date,detail,amount,domain
24,Sticky Notes,139,Stationary
2,Aata,300,Groceries
4,grofers,300,Groceries
1,Momos,120,Eating Out
5,westside,500,Clothes
10,lifestore,300,Groceries
10,Earings,100,Others
25,Ball pen,200,Stationary
2,Cab,150,Travel
26,paint colour,50,Stationary
3,E-rickshaw,150,Travel
7,jumpsuit,500,Clothes
15,NetFlix,499,Entertainment
5,Milk and Vegetables,265,Groceries
24,Accounts book,652,Stationary
7,Zara,3000,Clothes
11,Straightener,1000,Others
25,Registers,234,Stationary
5,BP medicines,103,Health
17,Movie Night,550,Entertainment
7,Vegetables,500,Groceries
10,Sanitizer,100,Others
7,ajio,500,Clothes
5,chocolate,300,Groceries
5,wedges,500,Clothes
11,Eye drop,50,Others
26,Notebooks,400,Stationary
20,Tata sky,1699,Entertainment
15,Disprin,100,Health
2,Milk,300,Groceries
4,cable bill,1000,Bills and Rent
1,Chai and Maggie,80,Eating Out
4,Train,150,Travel
5,Bus,150,Travel
10,Mustard oil,300,Groceries
15,LSD Cafe,700,Eating Out
11,Eyeliner,50,Others
24,Books,1500,Stationary
12,internet,1000,Bills and Rent
16,Pasta,210,Eating Out
15,TBK kulchas,200,Eating Out
4,Metro card,150,Travel
20,Curtians,3000,Housing
24,Personal Diary,125,Stationary
17,youtube premium,1000,Entertainment
3,Autorickshaw,150,Travel
21,Kitchen Items,1775,Housing
10,Sugar check up,200,Health
7,jeans,500,Clothes
25,White board marker,100,Stationary
25,Eraser,5,Stationary
26,Pens and others,150,Stationary
18,Swimming,700,Sport
10,Colgate,50,Others
10,Oil,300,Groceries
24,Chart Paper,10,Stationary
7,suit set,500,Clothes
5,socks,500,Clothes
3,Metro recharge,150,Travel
26,Sharpener,10,Stationary
5,Coffee,150,Eating Out
5,flipflop,500,Clothes
16,Starbucks,200,Eating Out
18,GYM,3000,Sport
25,poster colour,60,Stationary
26,Brush set,200,Stationary
24,Notebooks,200,Stationary
15,Chayoos,200,Eating Out
12,water bill,5000,Bills and Rent
7,Octave,500,Clothes
7,skirts,500,Clothes
10,Moov: Pain relief cream,90,Health
11,Tooth brush,20,Others
12,House rent,4000,Bills and Rent
24,Drawing Book,50,Stationary
15,Cheesy fries,150,Eating Out
16,Food Court,300,Eating Out
3,momo zone,120,Eating Out
2,roshan General store,300,Groceries
4,Dal,200,Groceries
10,Sauce,300,Groceries
7,sports shoes,500,Clothes
17,Movie,600,Entertainment
24,Drawing book,120,Stationary
5,heels,500,Clothes
3,Pasta Express,300,Eating Out
5,Sweets,1000,Eating Out
20,Cable,1500,Entertainment
10,syrups,300,Groceries
5,urbanic,500,Clothes
4,wifi bill,5000,Bills and Rent
25,Drawing clip,130,Stationary
5,suits,500,Clothes
26,Java: the complete reference book,1235,Stationary
25,Punch,100,Stationary
3,scooty,150,Travel
15,airtel,5000,Entertainment
16,Soda coke,70,Eating Out
16,Budget bites,250,Eating Out
11,Bangles ,50,Others
6,sandals,500,Clothes
15,Prime membership,200,Entertainment
4,besan,90,Groceries
16,Burger king,40,Eating Out
4,Mumbai Trip,35000,Travel
2,bread,120,Groceries
4,Metro,150,Travel
5,Metro,200,Travel
21,Electric kettle,300,Housing
5,bike,150,Travel
16,Foodie,245,Eating Out
15,McDonals,1000,Eating Out
18,Cricket,400,Sport
10,Paracetamol,50,Health
3,jam,100,Groceries
10,MRI Scan,5000,Health
5,Mithaiwala,400,Eating Out
17,jio,1236,Entertainment
12,health insurance,5000,Bills and Rent
6,Jeans,1000,Clothes
4,Fruits,100,Groceries
21,Bed,40000,Housing
12,Cylinder,900,Bills and Rent
3,supermarket,300,Groceries
4,traders,300,Groceries
5,Milk and Vegetables,300,Groceries
6,lower,500,Clothes
25,Calender,200,Stationary
26,File folder,100,Stationary
24,Notepad,100,Stationary
10,Sugar medicine,120,Health
6,hoodie,500,Clothes
6,tshirt,500,Clothes
17,PVR,1500,Entertainment
12,vehicle insurance,5000,Bills and Rent
4,Garam masala,50,Groceries
5,Bikaner,200,Eating Out
4,router,5000,Bills and Rent
15,Burger,175,Eating Out
3,Bus ticket,150,Travel
5,cylinder,1000,Bills and Rent
3,Scooty,150,Travel
5,zivame,500,Clothes
11,Nail paints,100,Others
25,Cryons,50,Stationary
6,amazon,500,Clothes
24,Printing Papers,325,Stationary
25,Stapler,85,Stationary
11,Refrigerator ,60000,Others
17,Spotify,700,Entertainment
20,HotStar,99,Entertainment
11,Mobile,30000,Others
25,Regular scale,15,Stationary
11,Spectacles,300,Others
11,Ear drop,60,Others
6,saree,500,Clothes
13,Honitus,110,Others
3,Momos point,200,Eating Out
6,pajama,500,Clothes
20,DTH,1456,Entertainment
6,shorts,500,Clothes
1,Pizza,400,Eating Out
24,Fevistick,40,Stationary
3,Car,150,Travel
3,auto,150,Travel
25,Pencil,10,Stationary
26,Highlighters,40,Stationary
5,Bus,50,Travel
5,autorickshaw,150,Travel
6,sweatshirt,500,Clothes
7,H&M,2500,Clothes
12,insurance,5000,Bills and Rent
12,bike insurance,5000,Bills and Rent
10,Curd,300,Groceries
15,Dominos,400,Eating Out
13,Mask,100,Others
7,pants,500,Clothes
13,Gift,1400,Others
3,Daily Transport,150,Travel
7,sweaters,500,Clothes
20,tata sky,1000,Entertainment
10,Big basket,300,Groceries
16,Swiggy,300,Eating Out
16,CCD,300,Eating Out
7,joggers,500,Clothes
26,Paint Color,60,Stationary
26,Laptop,50000,Stationary
7,T-shirt,500,Clothes
24,Poster Color,30,Stationary
10,Kirana Store,300,Groceries
4,Cereals,555,Groceries
4,Wi-Fi,1000,Bills and Rent
10,Nature basket,300,Groceries
12,Gas,1000,Bills and Rent
17,Movie,500,Entertainment
3,Coffee,50,Eating Out
6,pajama sets,500,Clothes
10,Regular Health check up,500,Health
16,Ama Cafe,600,Eating Out
17,ZEE5,2099,Entertainment
24,Acrylic colours,100,Stationary
12,electricity bill,5000,Bills and Rent
7,coat,500,Clothes
3,BurgerKing,500,Eating Out
5,Regular Health check up,500,Health
4,Olive oil,300,Groceries
12,cable,1000,Bills and Rent
6,slip-on,500,Clothes
4,Spices,300,Groceries
15,Cafe,800,Eating Out
7,trousers,500,Clothes
16,Samosa,45,Eating Out
25,Scissors,50,Stationary
13,Crocin,50,Others
4,Breakfast meals,415,Groceries
10,General store,300,Groceries
20,Airtel DTH,9000,Entertainment
26,Paper clip,10,Stationary
22,Wallet,300,Housing
15,Aggarwal,200,Eating Out
6,top,300,Clothes
7,lingerie,500,Clothes
7,jacket,500,Clothes
7,masks,500,Clothes
10,amazon daily,300,Groceries
12,Parking rent,5000,Bills and Rent
7,W,500,Clothes
3,Zomato,235,Eating Out
4,Milk and Vegetables,350,Groceries
2,museli,300,Groceries
6,kurta,500,Clothes
26,PenSets,100,Stationary
26,Fevicol,100,Stationary
2,E-rickshaw,150,Travel
2,Snacks,375,Groceries
2,Grofers,1500,Groceries
1,Bakery,200,Eating Out
2,Flours,250,Groceries
6,myntra,500,Clothes
12,Water Bill,500,Bills and Rent
4,Electricity Bill,2300,Bills and Rent
5,Metro card recharge,150,Travel
22,Bottle,200,Housing
1,KFC,700,Eating Out
10,Blood Sugar Check,100,Health
17,disney,500,Entertainment
24,Calculator,245,Stationary
5,Train ticket,150,Travel
1,Wow momos,300,Eating Out
13,Blanket,2000,Others
3,Bike,150,Travel
1,Restaurant,5236,Eating Out
6,Saree,1200,Clothes
7,dress,500,Clothes
17,Disney+Hotstar,599,Entertainment
6,flipkart,500,Clothes
5,rickshaw,150,Travel
6,flip-flop,500,Clothes
1,Chhole bhature,100,Eating Out
6,Dress,775,Clothes
24,Memopads,145,Stationary
4,Bread and Butter,180,Groceries
10,rice,300,Groceries
22,Jug,500,Housing
1,Haldirams,350,Eating Out
12,house rent,5000,Bills and Rent
13,Hair clip,30,Others
4,Grofers,300,Groceries
7,blazer,500,Clothes
26,Stationary,200,Stationary
7,shirt,500,Clothes
13,Titan watch,1055,Others
25,Diary,150,Stationary
12,Phone Prepaid,700,Bills and Rent
25,Scienntific Calculator,800,Stationary
7,slippers,500,Clothes
1,Sandwich,300,Eating Out
4,bus,150,Travel
13,Face cream,200,Others
5,cab,150,Travel
2,Aristocrat trolley,10000,Travel
5,Dental check up,700,Health
22,Chairs,1000,Housing
12,car insurance,5000,Bills and Rent
2,butter,75,Groceries
22,Table,500,Housing
1,Chinese Platter,75,Eating Out
22,Bed linens,1470,Housing
21,Dining Table,20000,Housing
21,Study Table,400,Housing
4,EMI,2000,Bills and Rent
10,jio mart,1000,Groceries
